epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,3066.05,0.72272,0.71055,0.00939,0.62879,0.76728,0.7484,0.63173,0.6638,0.7494,0.01052,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3196.93,0.7317,0.70471,0.00952,0.60851,0.74902,0.71142,0.59735,0.66018,0.80342,0.01039,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3328.53,0.71589,0.69758,0.00938,0.62037,0.74529,0.73352,0.61599,0.66148,0.7761,0.01054,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3471.32,0.72341,0.69038,0.00936,0.63704,0.7653,0.74401,0.62849,0.65609,0.77597,0.01031,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3622.9,0.71042,0.66932,0.00923,0.68456,0.70084,0.74617,0.63167,0.65376,0.75355,0.01021,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3781.9,0.7189,0.69351,0.00939,0.65754,0.74698,0.74864,0.63526,0.65196,0.77656,0.01015,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3923.63,0.72372,0.69485,0.00934,0.60532,0.76567,0.7249,0.61511,0.64377,0.81028,0.00992,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4057.56,0.71312,0.68545,0.00922,0.61178,0.77329,0.74279,0.63211,0.64676,0.75426,0.00996,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4193.16,0.70675,0.67006,0.00927,0.67144,0.7278,0.74146,0.6283,0.6474,0.77775,0.01011,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4335.41,0.70837,0.66164,0.00926,0.62528,0.76146,0.74668,0.63479,0.63973,0.78662,0.00972,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4485.55,0.70399,0.66132,0.00919,0.68844,0.74395,0.73501,0.62243,0.63632,0.77197,0.00976,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4629.96,0.70044,0.66157,0.00904,0.65072,0.74426,0.73856,0.62917,0.63704,0.76722,0.00973,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4763.8,0.69638,0.63861,0.00912,0.64419,0.76334,0.72638,0.61869,0.63875,0.75282,0.00992,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
